camera_id,camera_model,camera_sensitivity_raw,camera_operating_temperature_raw,camera_data_transfer_interface,camera_case_type,camera_resolution_raw,camera_lens_type,camera_IR_illumination,camera_compression_codec,camera_memory_card_support,camera_audio_inputs_outputs,camera_alarm_inputs_outputs,camera_SATA_quantity_capacity,camera_independent_video_outputs,camera_data_transfer_rate,camera_lightning_protection,camera_power_raw,camera_power_supply_raw,camera_comment,camera_sensitivity_day_x10000,camera_operating_temperature_min,camera_operating_temperature_max,camera_resolution,camera_power_x10,camera_power_supply_poe
0,LTV-1CNC20-F28-W ,"0.01 к (ц, F2.0, АРУ к.) DWDR",-10…+50,RJ45,Cube,2 Mp,FIX 2.8,10,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",-,Mic,-,-,-,1x100  Мб/с,True,4 Вт,5В (DC),,100,-10,50,2,40,False
1,LTV-1CNB20-F28,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Bullet,2 Mp,FIX 2.8,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",-,-,-,-,-,1x100  Мб/с,True,"5,5 Вт",12В (DC) / PoE (IEEE 802.3af),,100,-40,50,2,55,True
2,LTV-1CNB20-F40,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Bullet,2 Mp,FIX 4.0,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",-,-,-,-,-,1x100  Мб/с,True,"5,5 Вт",12В (DC) / PoE (IEEE 802.3af),,100,-40,50,2,55,True
3,LTV-1CNB40-F28,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Bullet,4 Mp,FIX 2.8,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,-,-,-,-,1x100  Мб/с,True,6 Вт,12В (DC) / PoE (IEEE 802.3af),,100,-40,50,4,60,True
4,LTV-1CNB40-F40,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Bullet,4 Mp,FIX 4.0,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,-,-,-,-,1x100  Мб/с,True,6 Вт,12В (DC) / PoE (IEEE 802.3af),,100,-40,50,4,60,True
5,LTV-1CND20-F28,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Dome,2 Mp,FIX 2.8,30,Н265/H264,-,-,-,-,-,1x100  Мб/с,True,5 Вт,12В (DC) / PoE (IEEE 802.3af),,100,-40,50,2,50,True
6,LTV-1CND20-F40,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Dome,2 Mp,FIX 4.0,30,Н265/H264,-,-,-,-,-,1x100  Мб/с,True,5 Вт,12В (DC) / PoE (IEEE 802.3af),,100,-40,50,2,50,True
7,LTV-1CND40-F28,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Dome,4 Mp,FIX 2.8,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,-,-,-,-,1x100  Мб/с,True,"5,5 Вт",12В (DC) / PoE (IEEE 802.3af),,100,-40,50,4,55,True
8,LTV-1CND40-F40,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Dome,4 Mp,FIX 4.0,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,-,-,-,-,1x100  Мб/с,True,"5,5 Вт",12В (DC) / PoE (IEEE 802.3af),,100,-40,50,4,55,True
9,LTV-1CNT20-F28,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Eyeball,2 Mp,FIX 2.8,30,Н265/H264,-,-,-,-,-,1x100  Мб/с,True,5 Вт,12В (DC) / PoE (IEEE 802.3af),,100,-40,50,2,50,True
10,LTV-1CNT20-F40,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Eyeball,2 Mp,FIX 4.0,30,Н265/H264,-,-,-,-,-,1x100  Мб/с,True,5 Вт,12В (DC) / PoE (IEEE 802.3af),,100,-40,50,2,50,True
11,LTV-1CNT40-F28,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Eyeball,4 Mp,FIX 2.8,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,-,-,-,-,1x100  Мб/с,True,5 Вт,12В (DC) / PoE (IEEE 802.3af),,100,-40,50,4,50,True
12,LTV-1CNT40-F40,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Eyeball,4 Mp,FIX 4.0,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,-,-,-,-,1x100  Мб/с,True,5 Вт,12В (DC) / PoE (IEEE 802.3af),,100,-40,50,4,50,True
13,LTV-1CNB20-F28-W,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,"RJ45, Wi-Fi",Bullet,2 Mp,FIX 2.8,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",-,Mic,-,-,-,1x100  Мб/с,True,4 Вт,12 В (DC) ±25 %,,100,-40,50,2,40,False
14,LTV-1CND20-F28-W,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,"RJ45, Wi-Fi",Dome,2 Mp,FIX 2.8,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",-,Mic,-,-,-,1x100  Мб/с,True,4 Вт,12 В (DC) ±25 %,,100,-40,50,2,40,False
15,LTV-1CNB20-F28-L,"0.002 к (ц, F2.0, АРУ к.) WDR",-40…+50,RJ45,Bullet,2 Mp,FIX 2.8,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,-,-,-,-,1x100  Мб/с,True,9 Вт,"(DC) 12 В ±25 %, PoE(IEEE802.3af)",,20,-40,50,2,90,True
16,LTV-1CNT20-F28-L,"0.005 к (ц, F2.0, АРУ к.) WDR",-40…+50,RJ45,Eyeball,2 Mp,FIX 2.8,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,-,-,-,-,1x100  Мб/с,True,8 Вт,"(DC) 12 В ±25 %, PoE(IEEE802.3af)",,50,-40,50,2,80,True
17,LTV-1CNB20-M2812,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Bullet,2 Mp,MTZ 2.8-12,50,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,Mic,-,-,-,1x100  Мб/с,True,"7,5 Вт","(DC) 12 В ±25 %, PoE(IEEE802.3af)",,100,-40,50,2,75,True
18,LTV-1CND20-M2812,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Dome,4 Mp,MTZ 2.8-12,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,Mic,-,-,-,1x100  Мб/с,True,"7,5 Вт",12В (DC) / PoE (IEEE 802.3af),,100,-40,50,4,75,True
19,LTV-1CNT20-M2812,"0.01 к (ц, F2.0, АРУ к.) DWDR",-40…+50,RJ45,Eyeball,4 Mp,MTZ 2.8-12,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,Mic,-,-,-,1x100  Мб/с,True,"7,5 Вт",12В (DC) / PoE (IEEE 802.3af),,100,-40,50,4,75,True
20,LTV-1CNB40-M2812,"0.005 к (ц, F2.0, АРУ к.) WDR",-40…+50,RJ45,Bullet,4 Mp,MTZ 2.8-12,50,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,Mic,-,-,-,1x100  Мб/с,True,"7,5 Вт","(DC) 12 В ±25 %, PoE(IEEE802.3af)",,50,-40,50,4,75,True
21,LTV-1CND40-M2812,"0.005 к (ц, F2.0, АРУ к.) WDR",-40…+50,RJ45,Dome,4 Mp,MTZ 2.8-12,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,Mic,-,-,-,1x100  Мб/с,True,"7,5 Вт","(DC) 12 В ±25 %, PoE(IEEE802.3af)",,50,-40,50,4,75,True
22,LTV-1CNT40-M2812,"0.005 к (ц, F2.0, АРУ к.) WDR",-40…+50,RJ45,Eyeball,4 Mp,MTZ 2.8-12,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,Mic,-,-,-,1x100  Мб/с,True,"7,5 Вт","(DC) 12 В ±25 %, PoE(IEEE802.3af)",,50,-40,50,4,75,True
23,LTV-3CNS20,"0.0005 к (ц, F1.2, АРУ к.), 0.0001 к (/б, F1.2, АРУ к.),  WDR  120 дБ",-20…+50,"RJ45, BNC, RS-485",Box,2 Mp,нет,0,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",microSD (до 256 Гб),1 / 1,2/1,-,-,1x100  Мб/с,True,7 Вт,"12 В (DC) (±25 %), 24 В (АC) (±25 %), PoE(IEEE802.3af)",Сертификат 969,5,-20,50,2,70,True
24,LTV-3CNS40,"0.0005 к (ц, F1.2, АРУ к.), 0.0001 к (/б, F1.2, АРУ к.),  WDR  120 дБ",-20…+65,"RJ45, BNC, RS-485, SFP",Box,4 Mp,нет,0,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",microSD (до 256 Гб),1 / 1,2/1,-,-,1x100  Мб/с,True,7 Вт,"12 В (DC) (±25 %), 24 В (АC) (±25 %), PoE(IEEE802.3af)",Сертификат 969,5,-20,65,4,70,True
25,LTV-3CNS20-F,"0.0005 к (ц, F1.2, АРУ к.), 0.0001 к (/б, F1.2, АРУ к.),  WDR  120 дБ",-20…+50,"RJ45, BNC, RS-485",Box,2 Mp,нет,0,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",microSD (до 256 Гб),1 / 1,2/1,-,-,1x100  Мб/с,True,6 Вт,AC24V/DC12V/PoE,Сертификат 969,5,-20,50,2,60,True
